City,Country,Continent,Population 2023,Population 2024,Growth Rate
Jining Shandong,China,Asia,1569560,1595963,0.0168
Abu Dhabi,United Arab Emirates,Asia,1566999,1593284,0.0168
Munich,Germany,Europe,1576416,1584507,0.0051
Ranchi,India,Asia,1547258,1584237,0.0239
Daejon,South Korea,Asia,1577436,1581705,0.0027
Zhangjiakou,China,Asia,1536171,1568122,0.0208
Edmonton,Canada,North America,1544448,1567615,0.015
Mandalay,Myanmar,Asia,1531860,1563021,0.0203
Gaoxiong,Taiwan,Asia,1552899,1559085,0.004
Kota,India,Asia,1516795,1558468,0.0275
Natal,Brazil,South America,1535316,1556413,0.0137
Nouakchott,Mauritania,Africa,1491958,1552146,0.0403
Jabalpur,India,Asia,1522121,1551004,0.019
Huainan,China,Asia,1512668,1538603,0.0171
Grande Sao Luis,Brazil,South America,1523629,1536017,0.0081
Asansol,India,Asia,1505033,1534081,0.0193
Philadelphia,United States,North America,1550587,1533916,-0.0107
Yekaterinburg,Russia,Asia,1527728,1532970,0.0034
Gwangju,South Korea,Asia,1529472,1532902,0.0022
Yiwu,China,Asia,1483320,1525749,0.0286
Chaozhou,China,Asia,1496298,1520628,0.0163
Gwalior,India,Asia,1475016,1508846,0.0229
Ganzhou,China,Asia,1459678,1508037,0.0331
San Antonio,United States,North America,1489751,1506593,0.0113
Homs,Syria,Asia,1443429,1499603,0.0389
Niamey,Niger,Africa,1437233,1496258,0.0411
Mombasa,Kenya,Africa,1440396,1495223,0.0381
Allahabad,India,Asia,1465152,1493346,0.0192
Basra,Iraq,Asia,1448124,1485156,0.0256
Kisangani,DR Congo,Africa,1423395,1483513,0.0422
San Jose,Costa Rica,North America,1461989,1482460,0.014
Amritsar,India,Asia,1451748,1480470,0.0198
Taizhou Jiangsu,China,Asia,1446810,1477600,0.0213
Chon Buri,Thailand,Asia,1454222,1472709,0.0127
Jiaxing,China,Asia,1424982,1470917,0.0322
Weihai,China,Asia,1429315,1465926,0.0256
Hai Phong,Vietnam,Asia,1422974,1463650,0.0286
Ottawa,Canada,North America,1437188,1451571,0.01
Zurich,Switzerland,Europe,1431538,1443349,0.0083
Taian Shandong,China,Asia,1416064,1441911,0.0183
Queretaro,Mexico,North America,1413474,1436818,0.0165
Joao Pessoa,Brazil,South America,1421827,1435125,0.0094
Kaifeng,China,Asia,1398262,1434463,0.0259
Cochabamba,Bolivia,South America,1400250,1430688,0.0217
Konya,Turkey,Asia,1407632,1429935,0.0158
Liuyang,China,Asia,1373523,1428802,0.0402
Liuan,China,Asia,1378077,1427894,0.0361
Rizhao,China,Asia,1391258,1426583,0.0254
Kharkiv,Ukraine,Europe,1421052,1418978,-0.0015
Dhanbad,India,Asia,1389776,1414532,0.0178
Nanchong,China,Asia,1377572,1412714,0.0255
